Week,Date,Home_Team,Away_Team,Home_Team_Score,Away_Team_Score,Home_Team_Yellowcard,Away_Team_Yellowcard,Home_Team_Redcard,Away_Team_Redcard,Home_Team_Shots,Away_Team_Shots,Home_Team_ShotsonTarget,Away_Team_ShotsonTarget,Home_Team_Possession,Away_Team_Possession,Home_Team_Passes,Away_Team_Passes,Home_Team_Fouls,Away_Team_Fouls,Home_Team_Offside,Away_Team_Offside,Home_Team_Corner,Away_Team_Corner,League
5,21-09-2025,Bournemouth,Newcastle,0,0,2,1,0,0,11,4,2,1,57,43,498,390,7,10,3,2,5,2,Premier League
5,21-09-2025,Arsenal,Man City,1,1,1,2,0,0,12,5,3,3,67,33,582,300,11,10,4,2,11,1,Premier League
6,27-09-2025,Brentford,Man United,3,1,2,2,0,0,10,14,8,6,43,67,351,455,14,10,2,1,4,2,Premier League
6,27-09-2025,Leeds United,Bournemouth,2,2,2,2,0,0,19,12,8,5,41,59,357,509,12,13,0,2,7,4,Premier League
6,27-09-2025,Crystal Palace,Liverpool,2,1,1,3,0,0,16,20,7,4,28,72,270,688,10,8,2,1,2,6,Premier League
6,27-09-2025,Nottm Forest,Sunderland,0,1,4,2,0,0,22,11,6,3,65,35,567,306,11,6,0,1,7,4,Premier League
6,27-09-2025,Tottenham,Wolves,1,1,3,2,0,0,10,9,3,3,52,48,398,394,9,11,2,0,10,9,Premier League
6,28-09-2025,Aston Villa,Fulham,3,1,1,4,0,0,9,11,4,4,48,52,403,414,10,13,2,4,2,8,Premier League
6,28-09-2025,Newcastle,Arsenal,1,2,2,1,0,0,8,20,3,7,36,64,279,495,8,9,1,0,7,12,Premier League
6,29-09-2025,Everton,West Ham,1,1,3,4,0,0,12,14,6,3,52,48,447,416,7,16,0,2,3,5,Premier League
7,04-10-2025,Bournemouth,Fulham,3,1,0,1,0,0,11,12,6,4,54,46,536,473,8,10,2,2,4,3,Premier League
7,04-10-2025,Leeds United,Tottenham,1,2,2,3,0,0,16,9,4,3,57,43,478,374,10,12,1,2,4,1,Premier League
7,04-10-2025,Man United,Sunderland,2,0,1,4,0,0,15,8,6,3,51,49,448,428,10,12,1,2,2,3,Premier League
7,04-10-2025,Arsenal,West Ham,2,0,0,2,0,0,21,4,5,0,68,32,566,268,14,14,1,1,8,3,Premier League
7,05-10-2025,Chelsea,Liverpool,2,1,0,2,0,0,12,12,6,2,54,46,508,450,9,8,2,2,7,2,Premier League
7,05-10-2025,Everton,Crystal Palace,2,1,2,3,0,0,14,15,7,8,51,49,428,424,13,16,0,1,2,4,Premier League
7,05-10-2025,Newcastle,Nottm Forest,2,0,0,4,0,0,18,5,9,4,52,48,457,432,16,15,0,2,8,1,Premier League
7,05-10-2025,Wolves,Brighton,1,1,2,4,0,0,6,17,3,6,41,59,347,481,13,9,1,3,2,8,Premier League
7,05-10-2025,Aston Villa,Burnley,2,1,3,1,0,0,15,5,7,2,56,44,494,405,9,15,3,5,6,4,Premier League
7,05-10-2025,Brentford,Man City,0,1,3,2,0,0,6,10,1,4,30,70,311,764,10,6,1,1,3,2,Premier League
