title,content,category,thumbnail,news_views,is_featured
Apakah Arne Slot Akan Dipecat Liverpool?,Arne Slot tengah menghadapi ujian terbesar sejak menangani Liverpool. Rentetan empat kekalahan beruntun membuat posisinya di Anfield mulai dipertanyakan. Pelatih asal Belanda itu menggantikan Jurgen Klopp pada musim panas lalu setelah pelatih asal Jerman tersebut mundur. Slot sempat membawa Liverpool menjuarai Premier League di musim perdananya.,Rumor,https://cdns.klimg.com/bola.net/resized/810x540/library/upload/21/2025/09/996x664/arne-slot-3_b9dcdfb.jpg,0,False
4 Pemain Baru Manchester United yang Bantu Ruben Amorim Taklukkan Liverpool di Anfield,Manchester United berhasil meraih kemenangan penting atas Liverpool di Anfield. Hasil ini menandai dua kemenangan beruntun pertama di Premier League bagi Ruben Amorim sejak menjadi pelatih Setan Merah.,Match,https://cdns.klimg.com/bola.net/resized/810x540/library/upload/21/2025/10/996x664/ruben-amorim-manches_a35b0ce.jpg,0,True
Erling Haaland Lampaui Rekor Cristiano Ronaldo Cetak Gol 12 Laga Beruntun!!,  Erling Haaland menulis sejarah baru di dunia sepak bola. Penyerang Manchester City tersebut baru saja memecahkan rekor milik Cristiano Ronaldo dengan torehan gol dalam 12 pertandingan beruntun di semua ajang termasuk bersama timnas Norwegia.,Analysis,https://cdns.klimg.com/bola.net/resized/810x540/library/upload/21/2025/10/996x664/erling-haaland-manch_ccc3b52.jpg,0,True
Eksklusif: Pep Guardiola Ungkap Target Manchester City Musim Ini,Pep Guardiola mengungkapkan bahwa City ingin mempertahankan dominasi di Premier League dan menargetkan gelar Liga Champions kedua mereka.,Exclusive,https://www.mancity.com/meta/media/mcop2sko/burnley-1-pep.jpg?width=1620,0,False
Analisis: Dominasi Arsenal di Paruh Musim Premier League 2025, Arsenal menunjukkan konsistensi luar biasa di paruh musim Premier League. Dengan lini tengah solid dan pressing tinggi,Analysis,https://library.sportingnews.com/styles/crop_style_16_9_desktop_webp/s3/2025-08/GettyImages-2229282593.jpg.webp?itok=M4GhoCzE,0,True
Wonderkid Ukir Sejarah di Liga Champions: Marc Guiu dan Estevao Pecahkan Rekor di Chelsea Lennart Karl Bersinar untuk Bayern Munchen,Ajang Liga Champions musim ini kembali menghadirkan kisah menakjubkan dari para pemain muda yang mencuri perhatian dunia. Dari London hingga Munchen talenta belia menunjukkan bahwa usia bukanlah penghalang untuk mencatatkan nama di buku sejarah klub.Penyerang muda Chelsea Marc Guiu menorehkan namanya dalam sejarah The Blues sebagai pencetak gol termuda klub di Liga Champions. Pemain berusia 19 tahun 291 hari itu membuka keunggulan bagi Chelsea dan menjadi sorotan utama dalam laga tersebut.,Analysis,https://cdns.klimg.com/bola.net/resized/810x540/library/upload/21/2025/10/996x664/estevao-willian-chel_d115bc1.jpg,0,False
Josko Gvardiol Hampir Tinggalkan Sepak Bola demi Basket Sebelum Gabung Manchester City,Josko Gvardiol mengungkap kisah mengejutkan tentang masa mudanya sebelum menjadi salah satu bek termahal di dunia. Pemain internasional Kroasia itu ternyata pernah hampir meninggalkan sepak bola demi mengejar karier di dunia basket. Gvardiol kini dikenal sebagai bagian penting dari Manchester City setelah dibeli dari RB Leipzig pada Agustus 2023 dengan nilai 77 juta pounds. Namun jauh sebelum itu ia sempat kehilangan semangat untuk terus berkarier di sepak bola,Rumor,https://cdns.klimg.com/bola.net/resized/810x540/library/upload/21/2025/05/996x664/josko-gvardiol-fulha_b0a759a.jpg,0,False
Drama di Laga Arsenal vs Atletico Madrid: Dimulai dengan Air Panas Diakhiri 4 Gol dalam Durasi 13 Menit,Kisah panas menyelimuti duel Liga Champions antara Arsenal dan Atletico Madrid di Stadion Emirates Rabu (22/10/2025). Drama itu bermula bukan dari lapangan melainkan dari ruang ganti tim tamu. Sehari sebelum pertandingan kubu Atletico dibuat kesal karena tak bisa menikmati air panas setelah sesi latihan resmi.Menurut laporan dari The Athletic Diego Simeone dan skuadnya berlatih di bawah hujan dingin London namun tak bisa mandi dengan air hangat usai latihan. Pihak klub Spanyol pun melapor ke UEFA menilai kejadian itu sebagai “situasi anomali” untuk stadion sekelas Emirates. Bagi mereka fasilitas dasar seperti air panas seharusnya tidak bermasalah di stadion modern seperti itu.Kemarahan Atletico kian membesar karena persoalan itu tak langsung terselesaikan. Pihak Arsenal baru bisa memperbaiki pipa air panas sekitar 40 menit setelah diberi tahu bahkan setelah skuad tamu sudah meninggalkan lokasi latihan. Para pemain Rojiblancos akhirnya kembali ke hotel untuk membersihkan diri dan beristirahat.Meski masalah tampak sepele atmosfer di antara kedua kubu langsung memanas. Staf Arsenal sudah mengakui kesalahan dan meminta maaf namun rasa jengkel di kubu Atletico sudah terlanjur membara. Drama di luar lapangan itu pun menjadi pembuka dari laga yang ternyata berakhir lebih panas di lapangan.,Match, https://cdns.klimg.com/bola.net/resized/810x540/library/upload/21/2025/10/996x664/viktor-gyokeres-gol-_bd039e8.jpg,0,True
"Laga ke-300 yang Istimewa: Bruno Fernandes Tampilkan Permainan Berkelas"," Manchester United melanjutkan tren positif mereka di Premier League dengan meraih kemenangan ketiga beruntun. Kali ini, Setan Merah menundukkan Brighton dengan skor 4-2 di Old Trafford. Kemenangan tersebut tak hanya memperpanjang catatan apik MU, tetapi juga menjadi momen spesial bagi Bruno Fernandes yang menorehkan penampilan ke-300 bersama klub.Setelah menang 2-1 di markas Liverpool pekan sebelumnya, skuad asuhan Ruben Amorim tampil penuh percaya diri sejak menit awal. Matheus Cunha membuka pesta gol lewat lesakan pertamanya untuk MU di menit ke-24, disusul Casemiro yang menggandakan keunggulan lewat tembakan yang berbelok arah. Bryan Mbeumo menambah dua gol di babak kedua untuk memastikan tiga poin meski Brighton sempat memperkecil kedudukan.Dalam pesta gol itu, nama Bruno Fernandes mungkin tak masuk papan skor, tetapi kontribusinya di lini tengah terasa dominan. Pada laga ke-300-nya bersama MU, sang kapten bermain dengan level permainan yang mencerminkan kelasnya sebagai motor serangan dan pengatur ritme tim.",Match,https://cdns.klimg.com/bola.net/resized/810x540/library/upload/21/2025/10/996x664/manchester-uniteds-b_f29b788.jpg,0,True
"Ketika Chelsea Kehilangan Tajinya di Depan Gawang"," Chelsea kehilangan ketajaman di lini depan saat takluk 1-2 dari Sunderland di Stamford Bridge. Gol di masa tambahan waktu dari Chemsdine Talbi menjadi penentu kemenangan dramatis tim tamu sekaligus membawa mereka naik ke posisi kedua klasemen Premier League.The Blues sejatinya sempat unggul cepat lewat aksi individu Alejandro Garnacho di menit kelima. Namun, keunggulan itu lenyap setelah Wilson Isidor memanfaatkan kelengahan pertahanan Chelsea untuk menyamakan kedudukan sebelum jeda.Sunderland kemudian tampil lebih hati-hati di babak kedua. Mereka bertahan rapat dan menunggu kesempatan untuk melancarkan serangan balik cepat yang akhirnya membuahkan hasil di penghujung laga.Sementara itu, Chelsea tampil dominan dalam penguasaan bola, tetapi gagal menciptakan peluang berbahaya. Kombinasi Joao Pedro, Pedro Neto, dan Garnacho terlihat menjanjikan di atas kertas, tetapi tidak menghasilkan banyak ancaman nyata di lapangan.Kehilangan taji di depan gawang, Chelsea pun tumbang. Kekalahan ini membuat Chelsea harus puas turun ke peringkat ketujuh klasemen, sementara Sunderland kini hanya berjarak dua poin dari Arsenal di puncak, tapi telah memainkan satu pertandingan lebih banyak.",Match,https://cdns.klimg.com/bola.net/resized/810x540/library/upload/21/2025/10/996x664/chelsea-and-sunderla_5b70390.jpg,0,False
